customer_id,age,gender,city,signup_days_ago,total_spend,avg_order_value,purchase_frequency,time_since_last_purchase,most_frequent_category,customer_support_calls,discount_usage_rate,device_type,preferred_purchase_time,email_open_rate,app_opens_last_30d,engagement_score
CUST_00000,56,Other,Chicago,1334,1022.57,90.86,1.28,40,Home,2,0.5,Tablet,Morning,0.69,12,45.31
CUST_00001,69,Female,San Jose,755,69.08,74.45,1.47,91,Clothing,0,0.04,Desktop,Evening,0.85,7,56.58
CUST_00002,46,Female,Phoenix,1075,57.18,65.73,3.9,113,Home,1,0.3,Desktop,Evening,0.66,14,52.96
CUST_00003,32,Male,Jacksonville,495,166.14,96.83,3.37,108,Electronics,1,0.41,Mobile,Morning,0.83,8,25.65
CUST_00004,60,Female,Fort Worth,409,447.8,51.38,1.12,134,Sports,0,0.67,Mobile,Evening,0.77,5,33.05
CUST_00005,25,Male,San Antonio,1650,242.5,98.68,1.98,156,Home,0,0.27,Mobile,Morning,0.95,7,53.19
CUST_00006,38,Other,Dallas,273,468.95,46.46,1.2,66,Electronics,0,0.45,Tablet,Afternoon,0.92,10,53.21
CUST_00007,56,Other,Los Angeles,458,87.03,60.59,1.23,143,Sports,1,0.18,Mobile,Morning,0.68,9,34.14
CUST_00008,36,Other,Dallas,1144,151.53,65.39,3.01,76,Home,1,0.25,Mobile,Evening,0.78,10,48.43
CUST_00009,40,Male,San Jose,1725,416.39,72.23,0.53,49,Electronics,1,0.28,Tablet,Morning,0.68,12,30.33
CUST_00010,28,Female,Philadelphia,46,122.41,11.41,2.47,81,Beauty,2,0.44,Desktop,Afternoon,0.68,6,21.69
CUST_00011,28,Other,Jacksonville,1267,274.79,77.64,1.94,43,Sports,1,0.42,Mobile,Morning,0.8,12,57.14
CUST_00012,41,Female,Philadelphia,311,425.07,29.32,3,30,Electronics,0,0.65,Tablet,Evening,0.79,10,49.31
CUST_00013,53,Female,Austin,562,1818.16,79.19,2.19,66,Beauty,0,0.24,Tablet,Afternoon,0.89,9,62.99
CUST_00014,57,Other,Chicago,331,41.63,81.86,3.5,2,Home,2,0.34,Mobile,Afternoon,0.7,11,52.5
CUST_00015,41,Male,Columbus,11,308.48,99.42,2.04,89,Beauty,1,0.42,Desktop,Evening,0.7,12,51.27
CUST_00016,20,Female,San Jose,908,252.31,41.62,2.95,102,Sports,2,0.08,Desktop,Evening,0.91,13,57.56
CUST_00017,39,Other,Fort Worth,1448,869.32,80.73,2.22,101,Clothing,0,0.12,Tablet,Afternoon,0.56,8,57.41
CUST_00018,19,Female,Dallas,1072,1152.78,73.81,2.07,74,Home,0,0.46,Desktop,Afternoon,0.9,10,44.24
CUST_00019,41,Female,Houston,1401,1187.65,60.81,3.22,100,Beauty,0,0.13,Mobile,Morning,0.82,5,51.77
CUST_00020,61,Female,Phoenix,1592,235.11,48.13,2.08,6,Electronics,0,0.36,Mobile,Morning,0.71,8,64.47
CUST_00021,47,Female,Chicago,8,181.67,77.02,2.17,26,Clothing,0,0.17,Mobile,Afternoon,0.66,10,69.55
CUST_00022,55,Female,Phoenix,984,298.13,108.42,1.3,6,Clothing,1,0.19,Tablet,Afternoon,0.64,8,53.52
CUST_00023,19,Male,San Diego,1550,210.79,68.98,2.04,7,Home,1,0.31,Mobile,Evening,0.46,9,31.93
CUST_00024,38,Male,San Diego,1751,634.44,106.34,-0.68,99,Beauty,0,0.25,Tablet,Evening,0.92,13,64.4
CUST_00025,50,Other,Columbus,1394,120.13,103.65,1.56,41,Sports,2,0.21,Mobile,Evening,0.75,11,42.39
CUST_00026,29,Male,San Diego,1464,537.47,21.52,2.33,84,Beauty,0,0.28,Mobile,Afternoon,0.51,9,68.67
CUST_00027,39,Male,Philadelphia,1781,1308.56,53.52,1.85,153,Beauty,0,0.11,Mobile,Evening,0.73,10,55.81
CUST_00028,61,Male,Charlotte,566,164.19,61.28,1.78,60,Home,0,0.34,Tablet,Morning,0.78,14,71.06
CUST_00029,42,Female,Charlotte,1508,564.88,108.1,2.57,19,Home,0,0.31,Desktop,Afternoon,0.85,3,54.11
CUST_00030,66,Female,New York,273,77.49,74.5,3.57,78,Electronics,0,0.35,Tablet,Morning,0.44,6,36.88
CUST_00031,44,Other,Austin,941,64.7,107.27,1.6,86,Sports,1,0.15,Tablet,Evening,0.58,9,53.83
CUST_00032,59,Other,San Jose,901,61.45,71.59,2.87,78,Home,1,0.31,Mobile,Evening,0.69,7,23.76
CUST_00033,45,Other,Jacksonville,131,74.56,107.97,1.98,50,Electronics,3,0.3,Desktop,Afternoon,0.85,8,28.13
CUST_00034,33,Female,Philadelphia,1545,121.78,86.31,2.52,73,Clothing,2,0.1,Tablet,Evening,0.57,12,51.62
CUST_00035,32,Male,Jacksonville,724,413.72,72.61,4.01,129,Electronics,2,0.22,Tablet,Afternoon,0.26,9,35.17
CUST_00036,64,Male,Austin,634,728.33,104.37,2.93,115,Sports,0,0.02,Tablet,Afternoon,0.58,9,50.23
CUST_00037,68,Female,San Jose,114,67.83,62.38,3.26,127,Electronics,0,0.21,Tablet,Evening,0.59,11,63.22
CUST_00038,61,Other,San Antonio,532,1020.17,125.52,1.6,29,Electronics,1,0.07,Mobile,Afternoon,0.61,7,35.6
